"last_name, first_name","player_id","year","player_age","ab","pa","hit","single","double","triple","home_run","strikeout","walk","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","xba","xslg","woba","xwoba","xobp","xiso","avg_swing_speed","fast_swing_rate","blasts_contact","blasts_swing","squared_up_contact","squared_up_swing","avg_swing_length","swords","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel_batted_rate"
"Guerrero Jr., Vladimir","665489","2024","25","616","697","199","124","44","1","30","96","72",13.8,10.3,".323",".544",".396","0.940",".323",".576",".398",".410",".397",".253",75.9,57.4,24.2,19.4,34.5,27.7,"7.7","9","93.8","7.4",35.1,13.7
"Ramírez, José","608070","2024","31","620","682","173","93","39","2","39","82","54",12,7.9,".279",".537",".335","0.872",".262",".460",".364",".332",".323",".198",71.6,19.7,13.9,12.1,32.6,28.3,"7.3","17","89.2","19.6",34,8.6
"Hoskins, Rhys","656555","2024","31","449","517","96","56","14","0","26","149","53",28.8,10.3,".214",".419",".303","0.722",".205",".398",".313",".305",".298",".192",71.2,13,12,9.1,29.8,22.8,"8.1","23","88.7","20.8",29.7,12.7
"Gelof, Zack","680869","2024","24","497","547","105","66","20","2","17","188","38",34.4,6.9,".211",".362",".270","0.632",".202",".353",".276",".273",".265",".152",71.6,11.7,12,7.8,30.4,19.8,"7.3","23","89.2","14.2",34.4,8.8
"Varsho, Daulton","662139","2024","27","459","513","98","52","21","7","18","137","48",26.7,9.4,".214",".407",".293","0.700",".189",".325",".304",".265",".271",".135",73.7,34.4,11.1,8.2,24,17.7,"7.6","6","86.1","24.4",30.2,6.2
"O'Hoppe, Logan","681351","2024","24","479","522","117","79","17","1","20","155","33",29.7,6.3,".244",".409",".303","0.712",".256",".470",".311",".337",".314",".214",70.7,17.4,14.6,10.1,32.9,22.7,"7.3","41","90.4","15.3",42.9,12
"Ramos, Heliot","671218","2024","24","475","518","128","80","23","3","22","135","37",26.1,7.1,".269",".469",".322","0.791",".253",".491",".339",".340",".310",".238",75.2,55.3,18.3,13.7,29.8,22.3,"6.9","28","91.5","10.4",34.3,14.5
"Ortiz, Joey","687401","2024","25","440","511","105","63","25","6","11","103","56",20.2,11,".239",".398",".329","0.727",".238",".349",".319",".307",".332",".111",73.4,34.8,12.4,10.5,26.5,22.5,"7.5","8","87.8","9.9",26.6,4.6
"Sánchez, Jesús","660821","2024","26","489","537","123","79","25","1","18","140","41",26.1,7.6,".252",".417",".313","0.730",".267",".478",".317",".345",".328",".211",75.2,54.4,19.1,13.1,32.2,22.2,"7.1","13","92.5","7.7",31.8,12.2
"Arraez, Luis","650333","2024","27","637","672","200","161","32","3","4","29","24",4.3,3.6,".314",".392",".346","0.738",".312",".405",".323",".326",".345",".093",63.2,0.3,4.9,4.6,46.5,43.9,"6","8","86.3","13.7",40.9,1.6
