"last_name, first_name","player_id","year","player_age","p_game","p_formatted_ip","pa","ab","hit","single","double","triple","home_run","strikeout","walk","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","xba","xslg","woba","xwoba","xobp","xiso","avg_swing_speed","fast_swing_rate","blasts_contact","blasts_swing","squared_up_contact","squared_up_swing","avg_swing_length","swords","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel_batted_rate"
"Fedde, Erick","607200","2024","31","31","177.1","726","661","154","100","30","4","20","154","52",21.2,7.2,".233",".381",".291","0.672",".247",".401",".293",".308",".305",".154",71.6,23.1,13.4,10.6,33.4,26.5,"7.2","15","88.6","14.9",32.4,7.6
"Taillon, Jameson","592791","2024","32","28","165.1","675","633","154","107","24","2","21","125","33",18.5,4.9,".243",".387",".280","0.667",".258",".424",".289",".311",".296",".166",71.9,23,15.8,13.1,37.4,30.9,"7.4","20","89.7","15.9",32.2,7.2
"López, Pablo","641154","2024","28","32","185.1","772","715","180","121","33","0","26","198","41",25.6,5.3,".252",".407",".298","0.705",".242",".400",".306",".301",".291",".157",71.5,20.7,11.5,8.6,29.6,22.1,"7.3","28","87.9","13.3",35.9,8.2
"Eflin, Zach","621107","2024","30","28","165.1","684","653","166","114","28","2","22","134","24",19.6,3.5,".254",".404",".283","0.687",".250",".412",".297",".298",".280",".162",71.5,22.3,15.4,12.4,34.9,27.9,"7.4","22","88.1","13.3",30,7.5
"Houck, Tanner","656557","2024","28","30","178.2","743","674","156","118","27","0","11","154","48",20.7,6.5,".231",".320",".296","0.616",".259",".391",".276",".314",".323",".131",71.6,22.5,16,12.6,36.8,29,"7.4","17","89.4","3.8",30.2,5.7
"Rea, Colin","607067","2024","33","32","167.2","714","656","169","105","33","2","29","135","43",18.9,6,".258",".447",".311","0.758",".275",".462",".327",".341",".328",".188",72.2,26.6,15.9,13.1,35.2,29,"7.3","16","90.4","15.2",36.3,8.7
"Severino, Luis","622663","2024","30","31","182.0","761","684","166","118","23","2","23","161","60",21.2,7.9,".243",".383",".313","0.696",".244",".385",".308",".308",".315",".142",71.6,23,10.7,8.5,27.8,22.1,"7.2","28","87.1","12.7",30.4,5.7
"Pfaadt, Brandon","694297","2024","25","32","181.2","760","707","183","122","31","6","24","185","42",24.3,5.5,".259",".421",".302","0.723",".249",".406",".312",".303",".295",".156",72.1,26.1,13.9,10.5,33.2,25.1,"7.4","20","89.4","14.1",33,8.1
"Gausman, Kevin","592332","2024","33","31","181.0","756","693","165","101","41","3","20","162","56",21.4,7.4,".238",".392",".296","0.688",".261",".463",".300",".338",".319",".202",71.9,25.6,15,11.6,32.1,24.8,"7.3","14","90.2","16.1",35.5,9.7
"Gomber, Austin","596295","2024","30","30","165.0","696","653","178","105","39","4","30","116","38",16.7,5.5,".273",".482",".312","0.794",".282",".495",".339",".349",".321",".214",72,24.6,17,13.6,37.1,29.7,"7.5","4","90.2","15",37.7,9.6
"Gilbert, Logan","669302","2024","27","33","208.2","803","756","148","82","39","1","26","220","37",27.4,4.6,".196",".353",".236","0.589",".225",".375",".255",".276",".264",".150",71.7,24.8,15,10.6,36,25.5,"7.5","34","89.6","12.6",33,7.2
"Berríos, José","621244","2024","30","32","192.1","786","714","168","112","21","4","31","153","54",19.5,6.9,".235",".406",".300","0.706",".268",".449",".308",".337",".331",".181",71.8,24.2,15.1,12.3,36.1,29.3,"7.3","26","89.6","13.4",36.3,7.8
"Mikolas, Miles","571945","2024","35","32","171.2","720","683","194","113","51","4","26","122","25",16.9,3.5,".284",".485",".312","0.797",".280",".465",".339",".333",".310",".185",72,26.2,15.1,12.7,32.5,27.4,"7.3","11","88.8","13.6",38.1,8.1
"Nola, Aaron","605400","2024","31","33","199.1","820","764","189","118","39","2","30","197","50",24,6.1,".247",".421",".295","0.716",".247",".397",".310",".303",".297",".150",71.7,24.5,14.6,11.1,32.8,24.8,"7.5","31","88.5","12",35.4,7.2
"Pepiot, Ryan","686752","2024","26","26","130.0","539","481","102","65","18","2","17","142","48",26.3,8.9,".212",".364",".292","0.656",".220",".380",".290",".299",".299",".161",71.7,24,11.6,8.3,31.7,22.6,"7.2","26","89.3","19.1",31.4,9.1
"Lugo, Seth","607625","2024","34","33","206.2","836","773","177","119","36","6","16","181","48",21.7,5.7,".229",".353",".281","0.634",".245",".396",".278",".302",".297",".151",72.1,26.2,15.2,12,35.6,28.1,"7.3","23","88.5","10.7",32.8,8
"Crochet, Garrett","676979","2024","25","32","146.0","595","555","123","78","25","2","18","209","33",35.1,5.5,".222",".371",".271","0.642",".206",".347",".280",".265",".257",".141",71.4,20.6,11,7.5,27,18.4,"7.2","20","88.3","11.1",34.5,9.2
"Pallante, Andre","669467","2024","25","29","121.1","509","458","110","81","21","0","8","94","48",18.5,9.4,".240",".338",".315","0.653",".235",".333",".293",".289",".312",".099",71.6,22.1,11.3,9.2,29.9,24.3,"7.1","17","87.4","1.1",24.4,3.3
"Marsh, Alec","679525","2024","26","26","129.0","548","493","123","73","28","3","19","123","39",22.4,7.1,".249",".434",".316","0.750",".267",".463",".325",".344",".334",".196",71.5,22.4,14.1,11.1,34.3,27.2,"7.3","21","89.7","15",38,9.6
"Steele, Justin","657006","2024","28","24","134.2","555","506","111","76","23","0","12","135","37",24.3,6.7,".219",".336",".276","0.612",".214",".310",".271",".260",".273",".096",71.8,24.4,10.2,7.9,28,21.8,"7.2","19","86.9","12.3",30.9,4.2
"Gil, Luis","661563","2024","26","29","151.2","637","550","104","56","28","2","18","171","77",26.8,12.1,".189",".345",".297","0.642",".211",".368",".288",".306",".317",".156",72,25.2,11.3,8.2,30.6,22.3,"7.3","27","89.3","19",33.7,9.5
"Cannon, Jonathan","686563","2024","23","23","124.1","522","475","125","80","24","3","18","91","40",17.4,7.7,".263",".440",".324","0.764",".261",".419",".332",".325",".324",".158",71.7,23,12.7,10.2,34.9,28,"7.2","12","89","14.6",38.3,7.3
"Woods Richardson, Simeon","680573","2024","23","28","133.2","569","509","125","87","21","1","16","117","48",20.6,8.4,".246",".385",".310","0.695",".243",".406",".305",".315",".311",".163",71.5,21.3,12,9.4,30.7,24.2,"7.3","14","88.4","18.5",35.7,8.2
"Rogers, Trevor","669432","2024","26","25","124.1","562","491","140","86","37","3","14","97","56",17.3,10,".285",".458",".357","0.815",".277",".445",".350",".349",".355",".168",72.1,26.2,16.8,13.5,34.7,28.1,"7.4","12","90.7","10.4",33.3,8.4
"Abbott, Andrew","671096","2024","25","25","138.0","586","529","127","73","28","1","25","114","52",19.5,8.9,".240",".439",".309","0.748",".238",".414",".323",".314",".309",".175",71.7,23.2,12,9.4,32.5,25.5,"7.3","4","88.2","21.3",36.6,9.3
"Stone, Gavin","694813","2024","25","25","140.1","580","537","133","88","25","2","18","116","37",20,6.4,".248",".402",".297","0.699",".258",".405",".304",".310",".307",".148",71.7,26.5,14,10.6,34,25.8,"7.4","13","88.2","11.2",32.5,6.4
"Montas, Frankie","593423","2024","31","30","150.2","655","576","140","87","28","1","24","148","66",22.6,10.1,".243",".420",".325","0.745",".250",".439",".325",".336",".332",".190",72.2,27.5,13.9,10.7,28.6,22,"7.4","15","89.3","13.5",36.2,9.2
"Assad, Javier","665871","2024","26","29","147.0","638","562","143","91","30","2","20","124","63",19.4,9.9,".254",".422",".333","0.755",".265",".447",".330",".344",".344",".182",72,27.3,14.7,12.3,35.5,29.8,"7.2","16","89.1","13.3",36,8.8
"Falter, Bailey","663559","2024","27","28","142.1","589","531","138","86","34","1","17","97","45",16.5,7.6,".260",".424",".315","0.739",".272",".464",".320",".342",".329",".192",71.9,25.8,15.8,12.9,37.4,30.5,"7.2","15","90.1","17",36.6,9
"Lively, Ben","594902","2024","32","29","151.0","632","577","139","86","26","4","23","118","49",18.7,7.8,".241",".419",".305","0.724",".244",".410",".315",".313",".308",".167",71.6,21.6,15.6,12.9,35.8,29.6,"7.2","13","90.2","14",30.7,6.5
"Nelson, Ryne","669194","2024","26","28","150.2","630","583","155","93","36","9","17","126","34",20,5.4,".266",".446",".308","0.754",".268",".417",".322",".315",".312",".149",71.1,20.4,14.1,11.7,32.9,27.4,"7","18","90.1","12",34.5,7.5
"Quantrill, Cal","615698","2024","29","29","148.1","656","571","156","101","26","6","23","110","69",16.8,10.5,".273",".461",".361","0.822",".277",".444",".358",".355",".365",".167",71.6,23.4,13.9,10.9,32.5,25.5,"7.3","9","89.1","11.1",37.1,7.3
"Parker, Mitchell","680730","2024","24","29","151.0","646","595","154","103","31","2","18","133","43",20.6,6.7,".259",".408",".309","0.717",".258",".441",".311",".323",".310",".183",72.2,26.8,14,11,34.5,27.2,"7.4","18","89.6","15.3",35.3,8.1
"Ober, Bailey","641927","2024","28","31","178.2","709","655","136","75","29","5","27","191","43",26.9,6.1,".208",".391",".261","0.652",".212",".380",".282",".283",".267",".168",71.6,23.2,10.7,7.6,31.4,22.3,"7.5","22","87.5","20.4",34.8,8.3
"Cease, Dylan","656302","2024","28","33","189.1","762","684","137","84","34","1","18","224","65",29.4,8.5,".200",".332",".269","0.601",".213",".368",".266",".286",".282",".155",71.4,23.1,12.4,8.5,32.4,22.3,"7.4","35","89","14.1",32.4,8.5
"Bibee, Tanner","676440","2024","25","31","173.2","710","651","150","84","40","4","22","187","44",26.3,6.2,".230",".406",".285","0.691",".242",".403",".299",".305",".297",".162",71.4,20.9,11.4,8.5,29.5,21.9,"7.3","23","88.4","17.7",37.4,7
"Valdez, Framber","664285","2024","30","28","176.1","703","634","140","102","24","1","13","169","55",24,7.8,".221",".323",".287","0.610",".234",".345",".272",".288",".301",".111",72.2,27.5,16.2,12,39.2,29.1,"7.4","21","90.2","0.4",26,5.3
"Gore, MacKenzie","669022","2024","25","32","166.1","731","649","171","117","36","3","15","181","65",24.8,8.9,".263",".398",".339","0.737",".257",".386",".324",".319",".335",".129",71.7,22.6,9.7,7.1,27.6,20.2,"7.2","23","88","13.5",36.2,6.8
"Bello, Brayan","678394","2024","25","30","162.1","702","622","157","107","31","0","19","153","64",21.8,9.1,".252",".394",".330","0.724",".258",".405",".319",".328",".338",".147",71.9,23.5,14.7,11.1,32.7,24.6,"7.4","23","88.5","6.2",34.2,7.4
"Spence, Mitch","687765","2024","26","35","151.1","651","598","165","101","41","3","20","126","44",19.4,6.8,".276",".455",".331","0.786",".252",".417",".340",".316",".310",".164",72,25.5,15.3,12.2,33.9,26.9,"7.4","18","89.5","9.5",30.9,8.4
"Manaea, Sean","640455","2024","32","32","181.2","738","662","134","86","27","0","21","184","63",24.9,8.5,".202",".338",".280","0.618",".229",".384",".275",".303",".304",".155",71.1,19.4,11.8,8.9,28.8,21.7,"7.1","23","88.6","16.3",37,7.5
"Eovaldi, Nathan","543135","2024","34","29","170.2","696","642","147","94","28","2","23","166","42",23.9,6,".229",".386",".282","0.668",".248",".398",".291",".307",".302",".151",71.5,21.8,15.4,11.3,32.9,24.2,"7.3","13","89.3","8.8",33.5,7.7
"Civale, Aaron","650644","2024","29","31","161.0","689","627","158","98","31","0","29","149","52",21.6,7.5,".252",".440",".314","0.754",".247",".402",".327",".312",".312",".155",71.6,22.7,14,11.1,33.4,26.5,"7.4","13","89.4","17.2",36.5,7.3
"Fried, Max","608331","2024","30","29","174.1","714","645","146","116","16","1","13","166","57",23.2,8,".226",".315",".295","0.610",".248",".363",".273",".299",".314",".115",71.2,19.2,13.4,10.6,31.1,24.6,"7.2","29","86.3","3",30.4,5
"Miller, Bryce","682243","2024","25","31","180.1","704","654","131","84","25","1","21","171","45",24.3,6.4,".200",".338",".254","0.592",".233",".415",".260",".302",".285",".182",71.9,24.6,12.3,9.6,33.5,26.1,"7.2","21","90.3","16.3",32.8,9.7
"Stroman, Marcus","573186","2024","33","30","154.2","675","603","167","116","28","4","19","113","60",16.7,8.9,".277",".431",".349","0.780",".273",".437",".341",".341",".346",".165",72.1,24.4,16.3,13.4,34.4,28.4,"7.4","19","89.3","9.9",35.5,6.7
"Feltner, Ryan","663372","2024","27","30","162.1","692","628","165","116","27","2","20","138","52",19.9,7.5,".263",".408",".324","0.732",".256",".418",".320",".322",".320",".162",71.5,21.6,13.8,10.7,34.5,26.6,"7.3","18","88.1","11.9",33.1,6.5
"Wheeler, Zack","554430","2024","34","32","200.0","787","723","139","86","28","5","20","224","52",28.5,6.6,".192",".328",".253","0.581",".199",".337",".256",".264",".261",".138",71.2,20.6,8.4,6.2,26.2,19.2,"7.1","21","86.5","13.5",32.6,8.3
"Bassitt, Chris","605135","2024","35","31","171.0","758","667","180","132","29","1","18","168","70",22.2,9.2,".270",".397",".352","0.749",".259",".404",".331",".328",".343",".146",71.2,19.6,14.4,11.6,30.6,24.6,"7.1","14","87.8","14.3",36.3,7.5
"Cortes Jr., Nestor","641482","2024","29","31","174.1","710","661","162","94","44","0","24","162","39",22.8,5.5,".245",".421",".290","0.711",".238",".409",".307",".299",".284",".171",72,26.4,14.5,11,30.6,23.3,"7.3","18","89.7","22.4",35,7.9
"Quintana, Jose","500779","2024","35","31","170.1","717","634","150","96","29","3","22","135","63",18.8,8.8,".237",".396",".314","0.710",".259",".413",".312",".329",".336",".153",71.9,26.1,16,12.7,36.8,29,"7.4","25","88","10.7",32.9,6.7
"Flexen, Chris","623167","2024","29","33","160.0","707","635","180","109","44","3","24","123","63",17.4,8.9,".283",".476",".349","0.825",".263",".449",".355",".339",".331",".186",71.6,23.6,13.7,10.8,35.5,27.9,"7.4","13","88.7","17.3",37,8.1
"Crawford, Kutter","676710","2024","28","33","183.2","759","695","155","89","30","2","34","175","51",23.1,6.7,".223",".419",".284","0.703",".226",".420",".304",".306",".288",".194",72.3,29.9,12.9,9.9,30.1,23.1,"7.4","24","88.4","19.8",33.4,9.9
"Singer, Brady","663903","2024","27","32","179.2","762","693","175","116","34","3","22","170","54",22.3,7.1,".253",".405",".315","0.720",".271",".437",".316",".334",".332",".167",71.7,25.2,16.3,12.6,36.3,28.2,"7.4","28","88.9","8.9",35.6,8
"Canning, Griffin","656288","2024","28","32","171.2","739","656","174","112","28","3","31","130","66",17.6,8.9,".265",".459",".334","0.793",".262",".446",".341",".336",".332",".184",72.2,26.8,14.7,11.3,36.1,27.8,"7.4","26","90.5","14.3",32.4,8.6
"Keller, Mitch","656605","2024","28","31","178.0","773","697","182","110","38","11","23","166","50",21.5,6.5,".261",".446",".321","0.767",".251",".418",".331",".323",".316",".167",71.1,18.5,12.9,10.5,33.9,27.5,"7.1","23","88.8","12.4",38,7.2
"Anderson, Tyler","542881","2024","34","31","179.1","765","681","158","99","32","3","24","142","73",18.6,9.5,".232",".394",".311","0.705",".249",".419",".308",".325",".327",".171",72.1,24.5,12.8,9.3,33,23.8,"7.5","12","87.2","17.6",34.1,7.9
"Burnes, Corbin","669203","2024","29","32","194.1","784","731","165","121","21","1","22","181","48",23.1,6.1,".226",".347",".274","0.621",".232",".371",".273",".284",".280",".139",71.6,22.4,13,9.8,32.7,24.6,"7.5","52","87.5","11",26.8,6.7
"Sears, JP","676664","2024","28","32","180.2","758","685","172","102","39","3","28","137","49",18.1,6.5,".251",".439",".311","0.750",".247",".453",".324",".327",".308",".206",72.6,29.7,16.1,12.8,33.6,26.7,"7.4","12","89.3","18.1",32.7,10.2
"Irvin, Jake","663623","2024","27","33","187.2","769","710","173","103","38","3","29","156","52",20.3,6.8,".244",".428",".299","0.727",".255",".440",".314",".323",".310",".185",71.8,24.6,13.7,10.8,33,26.1,"7.2","16","88.8","11.4",33,9.2
"Sánchez, Cristopher","650911","2024","27","31","181.2","754","706","182","135","34","2","11","153","44",20.3,5.8,".258",".358",".301","0.659",".259",".368",".290",".294",".302",".109",72,25.8,13.7,10.3,30.7,23,"7.5","10","87.4","2.4",30.2,5.4
"Skenes, Paul","694973","2024","22","23","133.0","514","475","94","69","14","1","10","170","32",33.1,6.2,".198",".295",".257","0.552",".195",".303",".247",".249",".255",".108",70.9,20,9.3,6.7,27.5,19.9,"7.3","19","87.8","8.4",27.8,5.2
"Kirby, George","669923","2024","26","33","191.0","778","740","181","118","38","3","22","179","23",23,3,".245",".393",".272","0.665",".239",".403",".287",".289",".269",".165",71.1,19.2,11.3,8.9,31.6,24.7,"7.1","36","89","14.8",30.5,8.1
"Corbin, Patrick","571578","2024","34","32","174.2","764","697","208","134","42","7","25","139","54",18.2,7.1,".298",".486",".348","0.834",".298",".482",".357",".359",".350",".185",72.2,27.2,19.5,15.5,35.9,28.6,"7.5","25","90.8","10",37.3,8.3
"Glasnow, Tyler","607192","2024","30","22","134.0","522","484","92","48","27","2","15","168","35",32.2,6.7,".190",".347",".244","0.591",".197",".331",".258",".255",".251",".134",71.5,23,11.4,8.1,31,22,"7.2","16","89","9.3",32.5,8.5
"Jones, Jared","683003","2024","22","22","121.2","504","456","106","55","29","4","18","132","39",26.2,7.7,".232",".432",".298","0.730",".237",".413",".314",".314",".305",".176",71.7,22.4,12.7,9.2,33.4,24.1,"7.3","19","89.6","14.5",36.9,9.8
"López, Reynaldo","625643","2024","30","26","135.2","543","492","108","74","22","2","10","148","42",27.3,7.7,".220",".333",".280","0.613",".243",".398",".271",".308",".305",".155",71.1,19.7,13.1,9.7,32.9,24.5,"7.3","22","89.8","13.8",37.3,8.8
"Lynn, Lance","458681","2024","37","23","117.1","511","458","113","75","21","1","16","109","44",21.3,8.6,".247",".402",".316","0.718",".266",".463",".314",".343",".334",".197",71.8,24.8,12.3,9.5,30.3,23.4,"7.1","15","88.9","17",37,10.5
"Peterson, David","656849","2024","28","21","121.0","510","453","110","79","22","1","8","101","46",19.8,9,".243",".349",".320","0.669",".264",".409",".299",".332",".341",".145",71.6,23.3,17.5,13.3,37.4,28.3,"7.2","17","89.3","7.2",35.7,7.3
"Webb, Logan","657277","2024","27","33","204.2","841","783","202","152","35","4","11","172","50",20.5,5.9,".258",".355",".302","0.657",".274",".415",".288",".320",".320",".142",71.9,26.1,17.7,14.2,36.5,29.4,"7.3","19","89.8","2.5",32.1,7
"Ryan, Joe","657746","2024","28","23","135.0","538","507","110","61","24","6","19","147","23",27.3,4.3,".217",".400",".257","0.657",".212",".364",".282",".268",".253",".151",71.2,21.4,10.9,8.1,29.4,21.9,"7.2","17","88.3","18.5",33.6,8.5
"Harrison, Kyle","690986","2024","22","24","124.1","532","476","125","81","25","1","18","118","42",22.2,7.9,".263",".433",".328","0.761",".260",".444",".330",".340",".330",".185",71.4,22.6,17.3,13.2,37.1,28.3,"7.2","9","90.7","14.9",34.2,10.1
"Greene, Hunter","668881","2024","24","26","150.1","611","526","96","62","19","3","12","169","57",27.7,9.3,".183",".298",".283","0.581",".190",".311",".265",".274",".291",".121",71.5,20.4,7.6,5.6,25.5,18.7,"7.3","24","87.3","20.8",29,5.2
"Bradley, Taj","671737","2024","23","25","138.0","578","519","122","77","22","1","22","154","47",26.6,8.1,".235",".408",".300","0.708",".233",".425",".308",".316",".300",".192",71.6,22,12.1,8.8,31.3,22.7,"7.2","17","91.2","13.3",34.9,10.2
"Lorenzen, Michael","547179","2024","32","26","130.1","535","468","101","63","20","1","17","97","59",18.1,11,".216",".372",".310","0.682",".245",".421",".303",".332",".337",".176",71.7,22.6,14.8,11.6,33.9,26.6,"7.3","13","88.5","15.1",32.2,8
"Kremer, Dean","665152","2024","28","24","129.2","553","493","110","73","19","0","18","123","51",22.2,9.2,".223",".371",".297","0.668",".243",".433",".294",".329",".319",".190",71.5,23.3,13.2,10.3,29.7,23.2,"7.4","13","87.4","15.1",31.1,9.8
