"last_name, first_name","player_id","year","p_formatted_ip","p_era","pitch_hand","n","n_ff_formatted","n_sl_formatted","n_ch_formatted","n_cu_formatted","n_si_formatted","n_fc_formatted","n_fs_formatted","n_kn_formatted","n_st_formatted","n_sv_formatted","n_fo_formatted","n_sc_formatted","n_fastball_formatted","n_breaking_formatted","n_offspeed_formatted"
"Colon, Bartolo","112526","2015","194.2","4.16","R","2683","29.1","9.7","7.4","0.3","53.5",,,,,,,,"82.6","10","7.4"
"Burnett, A.J.","150359","2015","164.0","3.18","R","2490","11.7",,"8.8","29.4","50.1",,,,,,,,"61.8","29.4","8.8"
"Hudson, Tim","218596","2015","123.2","4.44","R","1848","7",,,"11.6","47.3","22.8","11.2",,,,,,"77.2","11.6","11.2"
"Buehrle, Mark","279824","2015","198.2","3.81","L","2818","26.4",,"21.1","8.6","24.5","19.5",,,,,,,"70.3","8.6","21.1"
"Sabathia, CC","282332","2015","167.1","4.73","L","2693","25.2","22.5","14",,"38.3","0",,,,,,,"63.6","22.5","14"
"Vogelsong, Ryan","285064","2015","135.0","4.67","R","2304","41.2","15.5","8.7","20.6","14.1",,,,,,,,"55.3","36","8.7"
"Dickey, R.A.","285079","2015","214.1","3.91","R","3181","11.3",,,,,,,"88.7",,,,,"11.3","88.7",
"Lohse, Kyle","346798","2015","152.1","5.85","R","2529","0.9","27.2","21","6.8","43.9",,,,,,,,"44.9","34.1","21"
"Lackey, John","407793","2015","218.0","2.77","R","3102","35.9",,"2.7","9.6","31.2","20.6",,,,,,,"87.7","9.6","2.7"
"De La Rosa, Jorge","407822","2015","149.0","4.17","L","2443","29.9","1","1.5","6.3","1.3","25.3","34.8",,,,,,"56.4","7.3","36.3"
"Lewis, Colby","407890","2015","204.2","4.66","R","3168","45.7","35","6.8","8.1","4.5",,,,,,,,"50.1","43.1","6.8"
"Harang, Aaron","421685","2015","172.1","4.86","R","2832","35.1","17.2","10.2","4.7","32.8",,,,,,,,"67.9","21.9","10.2"
"Guthrie, Jeremy","425386","2015","148.1","5.95","R","2464","28.9","5.4","16.4","16.6","17.6","15.1",,,,,,,"61.7","21.9","16.4"
"Williams, Jerome","425532","2015","121.0","5.80","R","1960","16.9","3.8","17.5","2.4","33.9","25.5",,,,,,,"76.3","6.2","17.5"
"Greinke, Zack","425844","2015","222.2","1.66","R","3230","43.7","19.2","18.2","9","9.9",,,,,,,,"53.7","28.1","18.2"
"Haren, Dan","429717","2015","187.1","3.60","R","2898","30.1",,,"14.2","11.2","41","3.5",,,,,,"82.3","14.2","3.5"
"Simon, Alfredo","430580","2015","187.0","5.05","R","3011","16.7","0","0.6","8.9","29.4","10.3","34.1",,,,,,"56.4","8.9","34.6"
"Hamels, Cole","430935","2015","212.1","3.65","L","3326","31.4",,"23.5","12.1","21.2","11.8",,,,,,,"64.4","12.1","23.5"
"Kazmir, Scott","431148","2015","183.0","3.10","L","2940","2.4","7.2","18","4.3","55.9","12.2",,,,,,,"70.5","11.5","18"
"Danks, John","433579","2015","177.2","4.71","L","2911","34.3","0.3","29.1","12.2","10.4","13.7",,,,,,,"58.4","12.5","29.1"
"Hernández, Félix","433587","2015","201.2","3.53","R","3036","12.7","5.9","25.4","22.1","33.9",,,,,,,,"46.7","28","25.4"
"Verlander, Justin","434378","2015","133.1","3.38","R","2147","58.6","17","9.2","15.1",,,,,,,,,"58.6","32.2","9.2"
"Liriano, Francisco","434538","2015","186.2","3.38","L","2978","3.1","32.5","20.4","0.2","43.8",,,,,,,,"46.9","32.7","20.4"
"Jiménez, Ubaldo","434622","2015","184.0","4.11","R","3048","24.2","14.6",,"4.9","39.4","0","16.8",,,,,,"63.7","19.6","16.8"
