"last_name, first_name","player_id","year","p_formatted_ip","k_percent","batting_avg","p_era","pitch_hand","n","n_ff_formatted","n_sl_formatted","n_ch_formatted","n_cu_formatted","n_si_formatted","n_fc_formatted","n_fs_formatted","n_kn_formatted","n_st_formatted","n_sv_formatted","n_fo_formatted","n_sc_formatted","n_fastball_formatted","n_breaking_formatted","n_offspeed_formatted"
"Greinke, Zack","425844","2023","142.1",16.4,".282","5.06","R","2219","26.6","20","16.5","14.1","15.7","7",,,,,,,"49.3","34.1","16.5"
"Verlander, Justin","434378","2023","162.1",21.5,".226","3.22","R","2602","50","25.3","4.7","20",,,,,,,,,"50","45.3","4.7"
"Hill, Rich","448179","2023","146.1",19.5,".281","5.41","L","2531","34.1","1.9","2.3","36.1","4.1","14.7",,,"6.9",,,,"52.9","44.9","2.3"
"Morton, Charlie","450203","2023","163.1",25.6,".244","3.64","R","2842","31.7",,"10.3","43.2","6.8","8",,,,,,,"46.5","43.2","10.3"
"Scherzer, Max","453286","2023","152.2",28,".221","3.77","R","2465","46.3","16.8","14.1","12.4",,"10.4",,,,,,,"56.7","29.2","14.1"
"Lynn, Lance","458681","2023","183.2",23.6,".259","5.73","R","3167","43.7",,"6.9","14","12.7","22.8",,,,,,,"79.1","14","6.9"
"Kershaw, Clayton","477132","2023","131.2",26.2,".209","2.46","L","2025","36.9","43.4","1.6","17.5","0.2",,"0.3",,,,,,"37.1","60.9","2"
"Gibson, Kyle","502043","2023","192.0",19.5,".270","4.73","R","3038","13.4",,"17","8.4","26.1","16.6",,,"18.4",,,,"56.1","26.9","17"
"Cobb, Alex","502171","2023","151.1",20.3,".272","3.87","R","2506","0.3","5.1",,"16.2","39.7",,"38.7",,,,,,"39.9","21.3","38.7"
"Darvish, Yu","506433","2023","136.1",24.6,".259","4.56","R","2217","16.7","17.7","0.1","11.7","18.6","8.9","7.7",,"18.6",,,,"44.3","47.9","7.8"
"Kelly, Merrill","518876","2023","177.2",25.9,".222","3.29","R","2803","30.1","5.5","23.1","11","12.1","18.2",,,,,,,"60.4","16.5","23.1"
"Pérez, Martín","527048","2023","141.2",15.3,".274","4.45","L","2223","4","1","26.5","3.7","42.8","22.1",,,,,,,"68.9","4.7","26.5"
"Anderson, Tyler","542881","2023","141.0",18.9,".266","5.43","L","2431","37.4","0.8","33.9","0.2","5.5","22.3",,,,,,,"65.2","1","33.9"
"Cole, Gerrit","543037","2023","209.0",27,".206","2.63","R","3281","53","20.8","7.1","12.1",,"7",,,,,,,"60","32.9","7.1"
"Eovaldi, Nathan","543135","2023","144.0",22.9,".225","3.63","R","2232","37.2","4",,"13.5",,"17.6","27.6",,,,,,"54.8","17.5","27.6"
"Gray, Sonny","543243","2023","184.0",24.3,".226","2.79","R","2818","27.1",,"6.7","16.9","15.7","13.1",,,"20.5",,,,"55.9","37.4","6.7"
"Hendricks, Kyle","543294","2023","137.0",16.1,".255","3.74","R","2107","20.5",,"41.1","3.5","34.9",,,,,,,,"55.4","3.5","41.1"
"Lyles, Jordan","543475","2023","177.2",16,".255","6.28","R","2816","30.5",,"10.9","13.1","13.1","7.6",,,"24.7",,,,"51.3","37.8","10.9"
"Lorenzen, Michael","547179","2023","153.0",17.8,".243","4.18","R","2366","34.7","23.3","21.6","1.1","12","0.9",,,"6.4",,,,"47.6","30.8","21.6"
"Wheeler, Zack","554430","2023","192.0",26.9,".229","3.61","R","3155","43.4",,"0.4","11.4","18.1","14.4",,,"12.3",,,,"75.9","23.7","0.4"
"Corbin, Patrick","571578","2023","180.0",15.7,".293","5.20","L","2922","16.8","35","6.4",,"41.8",,,,,,,,"58.6","35","6.4"
"Heaney, Andrew","571760","2023","147.1",23.6,".251","4.15","L","2603","57.9","25","16.9","0.2",,,,,,,,,"57.9","25.2","16.9"
"Mikolas, Miles","571945","2023","201.1",15.9,".282","4.78","R","3197","26","24.3","5.4","20","24.4",,,,,,,,"50.4","44.3","5.4"
"Stroman, Marcus","573186","2023","136.2",20.7,".231","3.95","R","2203","8.2","5.1",,,"46.4","9.6","7.7",,,"23",,,"64.2","28.1","7.7"
"Kikuchi, Yusei","579328","2023","167.2",25.9,".255","3.86","L","2817","45.1","26.1","9.7","19.1",,,,,,,,,"45.1","45.2","9.7"
"Gausman, Kevin","592332","2023","185.0",31.1,".233","3.16","R","3069","50.9","10.2",,,,,"38.3",,"0.6",,,,"50.9","10.8","38.3"
"Gray, Jon","592351","2023","157.1",21.6,".256","4.12","R","2393","42.4","33.5","11.6","6.2",,,,,"6.4",,,,"42.4","46","11.6"
"Smyly, Drew","592767","2023","142.1",22.5,".265","5.00","L","2401",,,,"49.4","38.9","11.7",,,,,,,"50.6","49.4",
"Taillon, Jameson","592791","2023","154.1",21.4,".258","4.84","R","2533","34.2","0.4","3.1","14.9","10.2","22.2",,,"15",,,,"66.6","30.3","3.1"
"Walker, Taijuan","592836","2023","172.2",18.8,".238","4.38","R","2837","17.6",,,"5.7","23.3","17.2","33.2",,"3",,,,"58.1","8.7","33.2"
"Williams, Trevor","592866","2023","144.1",16.9,".300","5.55","R","2622","43.2","15.5","17","6.9","14.6",,,,"2.8",,,,"57.8","25.1","17"
"Rodriguez, Eduardo","593958","2023","152.2",23,".227","3.30","L","2372","45.5","7.2","18.9",,"9.3","19.1",,,,,,,"73.9","7.2","18.9"
"Weaver, Luke","596133","2023","123.2",19.4,".301","6.40","R","2258","43.5","10.5","20","11.8",,"11",,,"3.1",,,,"54.5","25.5","20"
"Gomber, Austin","596295","2023","139.0",14.4,".297","5.50","L","2160","43.9","20.1","18.1","16.8","1.2",,,,,,,,"45.1","36.9","18.1"
"Pivetta, Nick","601713","2023","142.2",31.2,".208","4.04","R","2383","50.6","11.1",,"24.7",,"7.8","0.5",,"5.4",,,,"58.4","41.2","0.5"
"Bassitt, Chris","605135","2023","200.0",22.5,".235","3.60","R","3139","9.3","4.6","6.5","12.6","39.3","15.4","3.3",,"9",,,,"64","26.2","9.8"
"Clevinger, Mike","605182","2023","131.1",20,".244","3.77","R","2100","47.9","27","12.8","1.6","2.4","8.3",,,,,,,"58.6","28.6","12.8"
"Nola, Aaron","605400","2023","193.2",25.5,".240","4.46","R","3087","29.5",,"12.6","31.6","18.8","7.5",,,,,,,"55.7","31.6","12.6"
"Snell, Blake","605483","2023","180.0",31.5,".181","2.25","L","3168","48.6","13.1","18.4","19.8",,,,,,,,,"48.6","32.9","18.4"
"Rea, Colin","607067","2023","124.2",21.3,".235","4.55","R","2016","19.3",,,"7.9","29.9","26.5","5.6",,"10.9",,,,"75.6","18.8","5.6"
"Freeland, Kyle","607536","2023","155.2",13.9,".300","5.03","L","2414","18.4","23.6","12.2","17.6","28.3",,,,,,,,"46.6","41.2","12.2"
"Lugo, Seth","607625","2023","146.1",23.2,".249","3.57","R","2376","31.9","9.1","5.9","28.7","19.9",,,,"2","2.7",,,"51.7","42.4","5.9"
"Giolito, Lucas","608337","2023","184.1",25.7,".240","4.88","R","3190","41.9","28.2","28.3","1.5",,,,,,,,,"41.9","29.8","28.3"
"Wacha, Michael","608379","2023","134.1",22.4,".224","3.22","R","2221","28.9","0.2","34.5","11","13.2","12.2",,,,,,,"54.3","11.2","34.5"
"Eflin, Zach","621107","2023","177.2",26.5,".235","3.50","R","2577","6.2","0.3","5.1","26.3","31.9","26.1",,,"4.1",,,,"64.2","30.7","5.1"
"Berríos, José","621244","2023","189.2",23.5,".241","3.65","R","2937","20.4",,"18.5",,"31.5",,,,,"29.6",,,"51.9","29.6","18.5"
"Castillo, Luis","622491","2023","197.0",27.3,".218","3.34","R","3207","44.4","22.1","15.6",,"17.9",,,,,,,,"62.3","22.1","15.6"
"Suárez, Ranger","624133","2023","125.0",22,".267","4.18","L","2023","21.5","0.5","18.4","19","28","12.6",,,,,,,"62.1","19.5","18.4"
"López, Pablo","641154","2023","194.0",29.2,".238","3.66","R","3024","34.5",,"21.1","12.5","10.6",,,,"21.4",,,,"45.1","33.8","21.1"
"Dunning, Dane","641540","2023","172.2",19.4,".250","3.70","R","2696","3.2","23.4","15.6","4.7","33.1","20",,,,,,,"56.3","28.1","15.6"
