"last_name, first_name","player_id","year","pitch_count_offspeed","pitch_count_fastball","pitch_count_breaking","pitch_count","pitch_hand","n","n_ff_formatted","n_sl_formatted","n_ch_formatted","n_si_formatted","n_fc_formatted","n_fs_formatted","n_kn_formatted","n_st_formatted","n_sv_formatted","n_fo_formatted","n_sc_formatted","n_fastball_formatted","n_breaking_formatted","n_offspeed_formatted"
"Taillon, Jameson","592791","2024","106","1628","364","2483","R","2483","29.6",,"4.3","10.9","25.1",,,"15.5",,,,"65.6","30.2","4.3"
"Fedde, Erick","607200","2024","474","1834","0","2891","R","2891","0.3",,"16.4","30.8","32.3",,,"20.2",,,,"63.4","20.2","16.4"
"López, Pablo","641154","2024","599","1436","297","2986","R","2986","40.8",,"20.1","7.3",,,,"21.9",,,,"48.1","31.8","20.1"
"Eflin, Zach","621107","2024","148","1602","466","2447","R","2447","8.9","0.2","6","28.3","28.2",,,"9.4",,,,"65.5","28.5","6"
"Crawford, Kutter","676710","2024","242","1857","202","2823","R","2823","33.7",,,,"32.1","8.6",,"18.5",,,,"65.8","25.6","8.6"
"Pfaadt, Brandon","694297","2024","329","1552","148","2793","R","2792","33.4",,"11.2","22.2",,"0.6",,"27.3",,,,"55.6","32.6","11.8"
"Singer, Brady","663903","2024","55","1561","1196","2967","R","2966","11.3","40.3","1.9","41.3",,,,"5.2",,,,"52.6","45.5","1.9"
"Keller, Mitch","656605","2024","21","1841","545","2851","R","2849","30.4","9.5","0.7","22","12.2",,,"15.5",,,,"64.6","34.6","0.7"
"Anderson, Tyler","542881","2024","1082","1791","41","2914","L","2914","39.6","1.3","37.1","3.3","18.5",,,,,,,"61.5","1.4","37.1"
"Burnes, Corbin","669203","2024","331","1581","1029","2996","R","2995",,"12.8","11.1","7.8","45",,,"1.8",,,,"52.8","36.2","11.1"
"Sears, JP","676664","2024","549","1339","281","2857","L","2856","36.3","9.8","19.2","10.6",,,,"24.1",,,,"46.9","33.9","19.2"
"Sánchez, Cristopher","650911","2024","998","1327","472","2797","L","2797",,"16.9","35.7","47.3","0.1",,,,,,,"47.4","16.9","35.7"
"Irvin, Jake","663623","2024","108","1976","962","3046","R","3046","37.9","0.3","3.5","20.5","6.5",,,,,,,"64.9","31.6","3.5"
"Skenes, Paul","694973","2024","114","1437","359","2125","R","2125","39.2","6.1","5.4","28.4",,,,"10.1",,,,"67.6","27","5.4"
"Berríos, José","621244","2024","465","1617","0","2914","R","2914","18.3",,"16","33.7","3.5",,,,"28.6",,,"55.5","28.6","16"
"Corbin, Patrick","571578","2024","97","1750","1039","2888","L","2888","7.6","34.3","3.4","33.8","19.2",,,,,,,"60.6","36","3.4"
"Glasnow, Tyler","607192","2024","0","1080","931","2011","R","2011","45","27.7",,"8.7",,,,,,,,"53.7","46.3",
"Jones, Jared","683003","2024","126","942","844","1912","R","1912","49.3","34.8","6.6",,,,,,,,,"49.3","44.1","6.6"
"Lugo, Seth","607625","2024","298","1578","798","3112","R","3112","24","9.5","6.9","18.5","8.2","2.6",,"4","10.1",,,"50.7","39.7","9.6"
"Webb, Logan","657277","2024","990","1530","0","3201","R","3200","5.3",,"30.9","39.9","2.6",,,"21.3",,,,"47.8","21.3","30.9"
"Ryan, Joe","657746","2024","468","1147","150","2106","R","2106","48.5","7.1",,"6",,"22.2",,"16.2",,,,"54.5","23.3","22.2"
"Greene, Hunter","668881","2024","214","1416","933","2563","R","2563","55.2","34.6",,,,"8.3",,,,,,"55.2","36.4","8.3"
"Marsh, Alec","679525","2024","216","1098","741","2161","R","2161","37","17.9","10","13.8",,,,"4.9",,,,"50.8","39.2","10"
"Kremer, Dean","665152","2024","401","1522","248","2171","R","2171","32.1",,,"15","23","18.5",,,,,,"70.1","11.4","18.5"
"Steele, Justin","657006","2024","67","1327","652","2046","L","2046","59.5","29.7","3.3","5.3",,,,,,,,"64.9","31.9","3.3"
"Cannon, Jonathan","686563","2024","379","1207","0","2028","R","2028","12.3",,"18.7","28","19.2",,,"21.8",,,,"59.5","21.8","18.7"
"Myers, Tobias","668964","2024","245","1367","540","2152","R","2152","40.1","21","11.4","0.5","23",,,,,,,"63.5","25.1","11.4"
"Woods Richardson, Simeon","680573","2024","442","924","929","2295","R","2295","40.3","31.2","19.3",,,,,,,,,"40.3","40.5","19.3"
"Gallen, Zac","668678","2024","351","1241","914","2506","R","2506","46.3","8.7","14","0.1","3.1",,,,,,,"49.5","36.5","14"
"Estes, Joey","683155","2024","225","1130","276","2027","R","2027","51.7","13.6","11.1","3.4","0.7",,,"19.5",,,,"55.7","33.2","11.1"
"Abbott, Andrew","671096","2024","381","1249","275","2333","L","2333","53.5","0.2","16.3",,,,,"18.3",,,,"53.5","30.1","16.3"
"Hendricks, Kyle","543294","2024","827","1029","279","2135","R","2135","12.7",,"38.7","35.5",,,,,,,,"48.2","13.1","38.7"
"Montas, Frankie","593423","2024","483","1869","281","2633","R","2633","33.2","10.7",,"19.1","18.7","18.3",,,,,,"71","10.7","18.3"
"Falter, Bailey","663559","2024","12","1339","786","2138","L","2137","48.5","21.6",,"14.2",,"0.6",,,,,,"62.7","36.8","0.6"
"Peralta, Freddy","642547","2024","536","1652","878","3066","R","3066","53.9","21.6","17.5",,,,,,,,,"53.9","28.6","17.5"
"Morton, Charlie","450203","2024","307","1301","1183","2791","R","2791","28.9",,"11","9.9","7.8",,,,,,,"46.6","42.4","11"
"King, Michael","650633","2024","713","1506","162","2895","R","2895","24.1","5.6","24.6","27.9",,,,"17.8",,,,"52","23.4","24.6"
"Nelson, Ryne","669194","2024","238","1783","341","2406","R","2406","55.7","8.5","9.9",,"18.4",,,"1.8",,,,"74.1","16","9.9"
"Quantrill, Cal","615698","2024","893","1418","332","2643","R","2643",,,"1.8","40.2","13.5","32",,,,,,"53.7","12.6","33.8"
"Ragans, Cole","666142","2024","740","1655","723","3118","L","3118","41.8","12.8","23.7",,"11.3",,,,,,,"53.1","23.2","23.7"
"Brown, Hunter","686613","2024","363","2012","514","2889","R","2889","34.8","5.3","12.6","18.1","16.8",,,,,,,"69.6","17.8","12.6"
"Ober, Bailey","641927","2024","792","1554","350","2696","R","2696","38.1","11.8","29.4",,"19.5",,,,,,,"57.6","13","29.4"
"Bibee, Tanner","676440","2024","512","1944","395","2851","R","2851","43.4","6.9","18","0.3","24.5",,,,,,,"68.2","13.9","18"
"Valdez, Framber","664285","2024","454","1219","925","2598","L","2598","1.2","4.3","17.5","45.8",,,,,,,,"46.9","35.6","17.5"
"Spence, Mitch","687765","2024","27","1344","1109","2481","R","2480",,"32.7","1.1","14.6","39.6",,,,,,,"54.2","44.7","1.1"
"Eovaldi, Nathan","543135","2024","808","1368","446","2622","R","2622","37.4","3.3",,,"14.8","30.8",,,,,,"52.2","17","30.8"
"Fried, Max","608331","2024","377","1488","735","2762","L","2762","33.6","5.6","13.6","15.6","4.7",,,"5.9",,,,"53.9","32.5","13.6"
"Kikuchi, Yusei","579328","2024","325","1374","1224","2923","L","2923","47","23.6","11.1",,,,,,,,,"47","41.9","11.1"
"Stroman, Marcus","573186","2024","293","1502","493","2667","R","2657","3.2","16",,"35.1","18.3","11",,,"13.9",,,"56.5","32.4","11"
"Wheeler, Zack","554430","2024","230","2195","317","3134","R","3134","41.4",,,"19","9.6","7.3",,"12.5",,,,"70","22.6","7.3"
"Flexen, Chris","623167","2024","440","1771","586","2797","R","2797","37","8.7","15.7","0.2","26.1",,,,,,,"63.3","21","15.7"
"Houck, Tanner","656557","2024","679","925","0","2735","R","2735",,,,"32.4","1.5","24.8",,"41.4",,,,"33.8","41.4","24.8"
"Rea, Colin","607067","2024","232","1851","112","2650","R","2650","19.3",,,"31.1","19.4","8.8",,"17.2",,,,"69.8","21.4","8.8"
"Severino, Luis","622663","2024","217","1974","202","2890","R","2889","35.5","7","7.5","24.8","8.1",,,"17.2",,,,"68.3","24.2","7.5"
"Gausman, Kevin","592332","2024","959","1669","240","2958","R","2868","52.8","8.4",,"5.4",,"33.4",,,,,,"58.2","8.4","33.4"
"Canning, Griffin","656288","2024","765","1107","997","2869","R","2869","37.6","24","26.7","1",,,,,,,,"38.6","34.8","26.7"
"Gomber, Austin","596295","2024","538","1059","1024","2622","L","2621","40.3","16.7","20.5","0.1",,,,,,,,"40.4","39.1","20.5"
"Gilbert, Logan","669302","2024","407","1303","1331","3042","R","3041","30.8","32",,"1.5","10.6","13.4",,,,,,"42.8","43.8","13.4"
"Mikolas, Miles","571945","2024","230","1379","969","2705","R","2703","27.9","24.2","8.5","23.2",,,,"4.1",,,,"51","40.5","8.5"
"Kirby, George","669923","2024","302","1719","945","2967","R","2967","33.9","23.7",,"23.6","0.4","10.2","0",,,,,"57.9","31.9","10.2"
"Nola, Aaron","605400","2024","307","1833","1049","3189","R","3189","27.8",,"9.6","20.4","9.2",,,,,,,"57.5","32.9","9.6"
"Pepiot, Ryan","686752","2024","504","1216","429","2149","R","2149","50.6","17.3","23.5",,"6",,,,,,,"56.6","20","23.5"
"Crochet, Garrett","676979","2024","142","2020","0","2395","L","2395","53.7",,"5.9","2.1","28.5",,,"9.7",,,,"84.3","9.7","5.9"
"López, Reynaldo","625643","2024","81","1164","864","2110","R","2109","55.2","29.4","3.8",,,,,,,,,"55.2","41","3.8"
"Lynn, Lance","458681","2024","128","1758","127","2039","R","2039","47.2",,"6.3","16.7","22.3",,,"1.3",,,,"86.2","7.5","6.3"
"Peterson, David","656849","2024","307","1076","488","1871","L","1871","26.5","18.4","16.4","31",,,,,,,,"57.5","26.1","16.4"
"Pallante, Andre","669467","2024","0","1357","577","1978","R","1934","51.1","17.2",,"19",,,,,,,,"70.2","29.8",
"Harrison, Kyle","690986","2024","410","1198","7","2078","L","2078","57.7","0.3","19.7",,,,,,"22.3",,,"57.7","22.6","19.7"
"Bradley, Taj","671737","2024","616","1473","205","2294","R","2294","41.7",,,,"22.5","26.9",,,,,,"64.2","8.9","26.9"
"Lorenzen, Michael","547179","2024","394","1221","350","2092","R","2092","27.2","8.8","18.8","21.2","10",,,"6.1",,,,"58.4","22.8","18.8"
"Gil, Luis","661563","2024","675","1299","690","2664","R","2664","48.8","25.9","25.3",,,,,,,,,"48.8","25.9","25.3"
"Pivetta, Nick","601713","2024","0","1301","471","2387","R","2386","48.6","3.4",,,"5.9",,,"25.7",,,,"54.5","45.5",
"Arrighetti, Spencer","681293","2024","215","1519","501","2505","R","2505","41","0.1","8.6",,"19.6",,,"10.8",,,,"60.6","30.8","8.6"
"Ortiz, Luis","682847","2024","20","1548","575","2143","R","2143","26.8","26.8","0.9","25.8","19.7",,,,,,,"72.2","26.8","0.9"
"Montgomery, Jordan","656756","2024","373","929","627","1929","L","1929","17.3","1.8","19.3","30.8",,,,,,,,"48.2","32.5","19.3"
"Rogers, Trevor","669432","2024","533","1248","462","2243","L","2243","31.7","20.6","23.8","24",,,,,,,,"55.6","20.6","23.8"
"Suárez, Albert","544150","2024","385","1552","296","2234","R","2233","50",,"17.2",,"19.5",,,,,,,"69.5","13.3","17.2"
"Flaherty, Jack","656427","2024","70","1193","1306","2646","R","2569","44.3","29","2.7","2.1",,,,,,,,"46.4","50.8","2.7"
"Gray, Sonny","543243","2024","159","1478","345","2483","R","2483","23.9",,"6.4","17.8","17.8",,,"20.1",,,,"59.5","34.1","6.4"
"Stone, Gavin","694813","2024","573","1133","409","2152","R","2152","24.7","14.8","26.6","22.6","5.3",,,"1.7",,,,"52.6","20.7","26.6"
"Pérez, Martín","527048","2024","501","1392","311","2204","L","2204","5.3","0","22.7","35.8","22.1",,,,,,,"63.2","14.1","22.7"
"Sale, Chris","519242","2024","414","1266","1135","2815","L","2815","37.8","40.3","14.7","7.2",,,,,,,,"45","40.3","14.7"
"Martinez, Nick","607259","2024","460","1282","383","2125","R","2125","22.4","6.1","21.6","17.6","20.3",,,,,,,"60.3","18","21.6"
"Suárez, Ranger","624133","2024","384","1485","485","2354","L","2354","19.5","0.1","16.3","31.5","12.1",,,,,,,"63.1","20.6","16.3"
"Blanco, Ronel","669854","2024","608","1055","1088","2751","R","2751","38.3","30.2","22.1",,,,,,,,,"38.3","39.5","22.1"
"Waldron, Matt","663362","2024","0","1028","0","2450","R","2450","19.1",,,"14.3","8.6",,"38.2","19.8",,,,"42","58",
"Assad, Javier","665871","2024","117","1856","337","2538","R","2538","15.8","1.7","4.6","35.7","21.6",,,"9",,,,"73.1","22.3","4.6"
"Lively, Ben","594902","2024","218","1453","328","2406","R","2406","31.4","4.9","9.1","29",,,,"16.9",,,,"60.4","30.5","9.1"
"Parker, Mitchell","680730","2024","458","1168","778","2404","L","2404","48.6","9.8",,,,"19.1",,,,,,"48.6","32.4","19.1"
"Cease, Dylan","656302","2024","28","1407","1620","3188","R","3188","43.5","42.9","0.9",,"0.6",,,"4.2",,,,"44.1","55","0.9"
"Gore, MacKenzie","669022","2024","277","1657","1013","2994","L","2994","55.3","14.3","9.3",,,,,"1.6",,,,"55.3","35.4","9.3"
"Rodón, Carlos","607074","2024","400","1640","1062","3102","L","3102","49.4","26","12.9",,"3.5",,,,,,,"52.9","34.2","12.9"
"Bello, Brayan","678394","2024","730","1220","760","2710","R","2710","4.8","28","26.9","40.3",,,,,,,,"45","28","26.9"
"Littell, Zack","641793","2024","576","917","866","2486","R","2485","22.1","34.8",,"14.8",,"23.2",,"5.1",,,,"36.9","39.9","23.2"
"Heaney, Andrew","571760","2024","463","1409","859","2731","L","2731","50.1","27.8","17","1.4","0.1",,,,,,,"51.6","31.5","17"
"Manaea, Sean","640455","2024","353","1892","176","2996","L","2996","11.3","5.9","11.8","44.7","7.1",,,"19.2",,,,"63.2","25.1","11.8"
"Skubal, Tarik","669373","2024","771","1525","542","2866","L","2838","33.2","14.9","27.2","20.5",,,,,,,,"53.7","19.1","27.2"
"Civale, Aaron","650644","2024","54","1784","460","2699","R","2699","9.9","1.4",,"24","32.2","2",,"14.9",,,,"66.1","31.9","2"
"Miller, Bryce","682243","2024","469","1695","351","2749","R","2749","42.3","8.3",,"17.1","2.3","17.1",,"8.5",,,,"61.7","21.3","17.1"
"Imanaga, Shota","684007","2024","893","1413","84","2590","L","2590","52",,"3.9","2.1","0.5","30.6",,"7.7",,,,"54.6","11","34.5"
"Wacha, Michael","608379","2024","839","1311","452","2602","R","2602","23.8","9.2","32.2","15.3","11.4",,,,,,,"50.4","17.4","32.2"
"Castillo, Luis","622491","2024","408","1811","639","2859","R","2858","45.3","22.4","14.3","18",,,,,,,,"63.4","22.4","14.3"
"Feltner, Ryan","663372","2024","379","1281","787","2578","R","2577","37","20.5","14.7","12.7",,,,"5",,,,"49.7","35.6","14.7"
"Gibson, Kyle","502043","2024","275","1679","239","2764","R","2764","13.2",,"9.9","26.4","21.1",,,"20.7",,,,"60.7","29.3","9.9"
"Bassitt, Chris","605135","2024","284","1921","536","2959","R","2959","4.5","4.4","5.3","40.7","19.7","4.3",,"7.4",,,,"64.9","25.5","9.6"
"Cortes Jr., Nestor","641482","2024","275","2098","25","2849","L","2849","44.2","0.9","9.7","1.4","28",,,"15.8",,,,"73.6","16.7","9.7"
"Quintana, Jose","500779","2024","544","1491","616","2819","L","2819","22.5",,"19.3","30.4",,,,,"6",,,"52.9","27.8","19.3"
